id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYPWAEHA,tehran,peugeot20602,1400,white,40000,intact,healthy,intact,intact,7,manual,342000000
wYTuQEeT,tehran,peugeot20602,1400,white,8800,intact,healthy,intact,intact,11,manual,351000000
wYTaAjUm,tehran,peugeot20602,1390,white,148000,intact,healthy,intact,intact,3,manual,230000000
wYLCQeik,tehran,peugeot20602,1399,white,30000,intact,healthy,intact,intact,2,manual,327000000
wYNqJDeo,tehran,peugeot20602,1396,ashgray,70000,intact,healthy,intact,intact,7,manual,275000000
wYTiwESk,tehran,peugeot20602,1383,silver,310000,round_colored,healthy,intact,intact,10,manual,125000000
wYTWgriR,tehran,peugeot20602,1398,white,30000,intact,healthy,intact,intact,3,manual,320000000
wYTiQGxY,tehran,peugeot20602,1396,white,69000,intact,healthy,intact,intact,11,manual,286000000
wYTWQJv2,tehran,peugeot20602,1394,white,90000,colored,healthy,intact,intact,4,manual,242500000
wYTWQho5,tehran,peugeot20602,1395,silver,121000,minor_scratch,healthy,intact,intact,7,manual,253000000
wYTOQ8FP,tehran,peugeot20602,1391,black,210000,round_colored,healthy,impact,intact,8,manual,188000000
wYTOA4E8,tehran,peugeot20602,1382,silver,182000,intact,healthy,intact,intact,12,manual,143000000
wYPmpukN,tehran,peugeot20602,1385,dimgray,225000,colored,healthy,intact,intact,7,manual,157000000
wYSefm18,tehran,peugeot20602,1382,huntergreen,500000,round_colored,healthy,intact,intact,5,manual,115000000
wYTGw1Tp,tehran,peugeot20602,1398,white,11000,collision_rep,healthy,intact,intact,6,manual,325000000
wYDWp4OP,tehran,peugeot20602,1398,white,63000,intact,healthy,intact,intact,6,manual,295000000
wYS6Py2t,tehran,peugeot20602,1398,white,27000,colored,healthy,intact,intact,6,manual,280000000
wYJSKLod,tehran,peugeot20602,1384,ashgray,300000,colored,healthy,intact,intact,3,manual,139000000
wYS2_X93,tehran,peugeot20602,1398,white,70000,intact,healthy,intact,intact,8,manual,305000000
wYSyfag7,tehran,peugeot20602,1396,seashell,122000,intact,healthy,intact,intact,6,manual,272500000
wY01jlTc,tehran,peugeot20602,1400,white,8000,intact,healthy,intact,intact,11,manual,352000000
wYSi_5eF,tehran,peugeot20602,1395,white,120000,colored,healthy,intact,intact,6,manual,230000000
wYSm_6cA,tehran,peugeot20602,1397,white,90000,intact,healthy,intact,intact,8,manual,305000000
wYHmBAx8,tehran,peugeot20602,1390,white,220000,whole_colored,healthy,intact,intact,6,,165000000
wYMq-e60,tehran,peugeot20602,1397,black,84000,minor_scratch,healthy,intact,intact,11,manual,281000000
wYSe_Z9Y,tehran,peugeot20602,1401,white,9000,intact,healthy,intact,intact,7,manual,355000000
wYSa_lWP,tehran,peugeot20602,1400,white,4000,collision_rep,healthy,colored,intact,2,manual,260000000
wYSiPAm3,tehran,peugeot20602,1399,white,13000,intact,healthy,intact,intact,8,manual,334000000
wYSevy7Y,tehran,peugeot20602,1398,white,60000,intact,healthy,intact,intact,1,manual,305000000
wYSe_SuA,tehran,peugeot20602,1399,white,13000,intact,healthy,intact,intact,,manual,322000000
wYSafhP0,tehran,peugeot20602,1396,white,78000,intact,healthy,intact,intact,5,manual,292000000
wYGNKVmV,tehran,peugeot20602,1383,silver,300000,colored,healthy,intact,intact,6,manual,119000000
wYVFTNJo,tehran,peugeot20602,1390,white,216000,minor_scratch,healthy,intact,intact,6,manual,165000000
wYSKP2U2,tehran,peugeot20602,1397,white,87000,intact,healthy,intact,intact,8,manual,295000000
wYSK_dGc,tehran,peugeot20602,1388,white,145000,minor_scratch,healthy,intact,intact,5,manual,190000000
wYSKvBi9,tehran,peugeot20602,1398,white,85000,colored,healthy,impact,intact,3,manual,279000000
wYS6uTG-,tehran,peugeot20602,1388,white,280000,round_colored,healthy,intact,intact,6,manual,148000000
wY6F14xu,tehran,peugeot20602,1399,white,28000,intact,healthy,intact,intact,11,manual,325000000
wYSC_yBI,tehran,peugeot20602,1386,beige,202000,round_colored,healthy,intact,intact,6,manual,150000000
wYSC_Cpf,tehran,peugeot20602,1397,white,120000,intact,healthy,intact,intact,3,manual,294000000
wYS2-ZWk,tehran,peugeot20602,1395,white,84000,intact,healthy,intact,intact,9,manual,290000000
wYSuOsvN,tehran,peugeot20602,1399,white,56000,colored,healthy,intact,intact,6,,309000000
wYR6gV0V,tehran,peugeot20602,1386,ashgray,210000,round_colored,healthy,intact,intact,4,manual,165000000
wYT2SQBU,tehran,peugeot20605,1395,white,123000,colored,healthy,intact,intact,9,manual,268000000
wYT2SWCr,tehran,peugeot20605,1393,dimgray,140000,minor_scratch,healthy,intact,intact,8,manual,235000000
wYTqyEKT,tehran,peugeot20605,1398,white,42000,colored,healthy,intact,intact,6,manual,325000000
wYT6w3lE,tehran,peugeot20605,1398,white,38000,intact,healthy,intact,intact,6,manual,360000000
wYTqiUcO,tehran,peugeot20605,1396,white,91000,colored,healthy,intact,intact,2,manual,268000000
wYT6RvVx,tehran,peugeot20605,1393,ashgray,122000,colored,healthy,,,3,manual,249000000 
wYTOCcJ3,tehran,peugeot20605,1384,silver,183000,round_colored,healthy,intact,intact,1,manual,145000000 
wYTuhbGn,tehran,peugeot20605,1385,ashgray,300000,round_colored,healthy,intact,intact,1,manual,140000000 
wYTiBAd3,tehran,peugeot20605,1396,white,178000,minor_scratch,healthy,,,6,manual,250000000 
wYQqJZ9B,tehran,peugeot20605,1393,white,118000,minor_scratch,healthy,intact,intact,3,manual,265000000 
wYRCQytA,tehran,peugeot20605,1394,black,147000,minor_scratch,healthy,intact,intact,5,manual,262000000 
wYTeBL9K,tehran,peugeot20605,1395,white,150000,colored,healthy,intact,intact,12,manual,258000000 
wYIOH1Ed,tehran,peugeot20605,1385,silver,350000,colored,healthy,intact,intact,10,manual,153000000 
wYTKBDSE,tehran,peugeot20605,1396,white,90000,intact,healthy,intact,intact,10,manual,295000000 
wYPWCBoh,tehran,peugeot20605,1399,white,25000,intact,healthy,intact,intact,6,manual,371000000 
wYT6w4YO,tehran,peugeot20605,1395,black,100000,minor_scratch,healthy,intact,intact,1,manual,290000000 
wYT-Qj47,tehran,peugeot20605,1394,white,161000,colored,healthy,intact,intact,1,manual,260000000 
wYT2A1ZC,tehran,peugeot20605,1398,white,67000,intact,healthy,intact,intact,4,manual,350000000 
wYT-gRup,tehran,peugeot20605,1397,white,80000,intact,healthy,intact,intact,9,manual,336000000 
wYT-gHzd,tehran,peugeot20605,1395,white,270000,intact,healthy,intact,intact,5,manual,285000000 
wYTyws_K,tehran,peugeot20605,1392,white,240000,intact,healthy,intact,intact,12,manual,248000000 
wYTyAevW,tehran,peugeot20605,1398,white,50000,colored,healthy,intact,intact,5,manual,330000000 
wYMKKloR,tehran,peugeot20605,1395,white,116000,colored,healthy,intact,intact,5,manual,244000000 
wYTiQTK3,tehran,peugeot20605,1390,white,280000,accident,,impact,intact,,,110000000 
wYRSdph7,tehran,peugeot20605,1393,ashgray,70000,minor_scratch,healthy,intact,intact,10,manual,269000000 
wYTiwEdW,tehran,peugeot20605,1395,white,119000,intact,healthy,intact,intact,12,manual,286000000 
wYTewYrc,tehran,peugeot20605,1399,white,58000,intact,healthy,intact,intact,12,manual,380000000 
wYTaw39S,tehran,peugeot20605,1396,white,100000,intact,healthy,intact,intact,11,manual,305000000 
wYRWrKAG,tehran,peugeot20605,1393,ashgray,181000,colored,healthy,intact,intact,3,manual,233000000 
wYTOgZOj,tehran,peugeot20605,1394,white,130000,intact,healthy,intact,intact,3,manual,255000000 
wYTKwuV4,tehran,peugeot20605,1393,white,240000,colored,healthy,intact,intact,3,manual,218000000 
wYJuoK6Y,tehran,peugeot20605,1397,red,60000,intact,healthy,intact,intact,2,manual,238000000 
wYQWpqsz,tehran,peugeot20605,1396,white,98000,collision_rep,healthy,intact,intact,,manual,300000000 
