id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYwqVhh0,tehran,peugeot20602,1401,white,119,intact,healthy,intact,intact,n/a,manual,470000000
wYzOxnOM,tehran,peugeot20602,1399,blue,60000,intact,healthy,intact,intact,9,manual,395000000
wYzeBnqI,tehran,peugeot20602,1394,white,145000,minor_scratch,healthy,intact,intact,1,manual,280000000
wYzax-z7,tehran,peugeot20602,1382,wine,256000,round_colored,replaced,impact,intact,10,manual,140000000
wYzaxCxb,tehran,peugeot20602,1399,white,18700,intact,healthy,intact,intact,10,manual,410000000
wYzSBqEj,tehran,peugeot20602,1394,ashgray,120000,minor_scratch,healthy,intact,intact,10,manual,300000000
wYz-A4lU,tehran,peugeot20602,1386,ashgray,320000,whole_colored,healthy,intact,intact,12,manual,158500000
wYu-dXyT,tehran,peugeot20602,1394,white,181000,intact,healthy,intact,intact,11,manual,325000000
wYzORDYO,tehran,peugeot20602,1396,white,110000,intact,healthy,intact,intact,6,manual,356000000
wYs-gvY8,tehran,peugeot20602,1398,silver,50000,intact,healthy,intact,intact,n/a,manual,370000000
wYzKRGUR,tehran,peugeot20602,1397,white,77000,colored,healthy,n/a,intact,6,manual,362000000
wYqW8pE-,tehran,peugeot20602,1401,white,19000,intact,healthy,intact,intact,7,manual,455000000
wYzCRcHJ,tehran,peugeot20602,1388,ashgray,229000,minor_scratch,healthy,intact,intact,9,manual,220000000
wYz6g3LN,tehran,peugeot20602,1387,ashgray,170000,round_colored,healthy,intact,intact,9,manual,210000000
wYz6gg9c,tehran,peugeot20602,1398,ashgray,57000,intact,healthy,intact,intact,6,manual,400000000
wYz2A_fi,tehran,peugeot20602,1382,red,480000,round_colored,healthy,intact,intact,7,manual,150000000
wYz2Qwcn,tehran,peugeot20602,1400,white,10000,intact,healthy,intact,intact,10,manual,447500000
wYziQqKV,tehran,peugeot20602,1394,white,172000,colored,healthy,intact,intact,1,manual,285000000
wYzuw1NJ,tehran,peugeot20602,1396,white,93000,intact,healthy,intact,intact,n/a,manual,369000000
wYziQPVw,tehran,peugeot20602,1398,white,29000,intact,healthy,intact,intact,12,manual,405000000
wYzuAxgE,tehran,peugeot20602,1398,white,21000,minor_scratch,healthy,intact,intact,11,manual,395000000
wYyS_0zX,tehran,peugeot20602,1383,silverblue,250000,minor_scratch,healthy,intact,intact,2,manual,171000000
wYyadFbi,tehran,peugeot20602,1383,ashgray,400000,round_colored,healthy,intact,intact,12,manual,122000000
wYzmAJan,tehran,peugeot20602,1401,white,4000,intact,healthy,intact,intact,7,manual,470000000
wYzmgelE,tehran,peugeot20602,1400,white,33200,intact,healthy,intact,intact,2,manual,445000000
wYzmQQU7,tehran,peugeot20602,1399,white,3000,intact,healthy,intact,intact,12,manual,440000000
wYzegrzD,tehran,peugeot20602,1393,white,150000,intact,healthy,intact,intact,12,manual,285000000
wYzSAavl,tehran,peugeot20602,1394,white,139200,minor_scratch,healthy,intact,intact,6,manual,328000000
wYzOAt-C,tehran,peugeot20602,1389,white,230000,colored,healthy,intact,intact,12,manual,227000000
wYLOHbNm,tehran,peugeot20602,1396,black,130000,intact,healthy,intact,intact,10,manual,370000000
wYzSwCxg,tehran,peugeot20602,1397,white,67000,intact,healthy,intact,intact,3,manual,335000000
wYzOQpAA,tehran,peugeot20602,1389,ashgray,210000,colored,healthy,n/a,n/a,7,manual,238000000
wYzCw-2x,tehran,peugeot20602,1396,white,72000,intact,healthy,intact,intact,n/a,manual,375000000
wYzCg7qX,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,n/a,465000000
wYy-PcVT,tehran,peugeot20602,1399,white,16000,intact,healthy,intact,intact,10,manual,417000000
wYy-f7f4,tehran,peugeot20602,1397,white,43600,intact,healthy,intact,intact,1,manual,362000000
wYy2_tWk,tehran,peugeot20602,1391,black,253000,colored,healthy,intact,intact,10,manual,265000000
wYy-Pw6k,tehran,peugeot20602,1398,white,15000,minor_scratch,healthy,intact,intact,3,manual,400000000
wYy-vYN5,tehran,peugeot20602,1396,white,116000,collision_rep,healthy,intact,intact,10,manual,360000000
wYyyf39T,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,465000000
wYvieD80,tehran,peugeot20602,1385,ashgray,189000,intact,healthy,intact,intact,12,manual,195000000
wYyuP9A7,tehran,peugeot20602,1396,white,100000,colored,healthy,intact,intact,5,n/a,325000000
wYyqvEBS,tehran,peugeot20602,1400,black,6500,intact,healthy,intact,intact,1,manual,440000000
wYyuPDm4,tehran,peugeot20602,1399,white,0,intact,healthy,intact,intact,2,manual,435000000
wYymfTNg,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,465000000
wYyi_oVU,tehran,peugeot20602,1394,white,160000,minor_scratch,healthy,intact,intact,6,manual,320000000
wYyStGzz,tehran,peugeot20602,1395,ashgray,162000,colored,healthy,n/a,n/a,1,manual,293000000
wYye_P9u,tehran,peugeot20602,1397,white,150000,minor_scratch,healthy,intact,intact,2,manual,365000000
wYyWPer1,tehran,peugeot20602,1398,white,59000,intact,healthy,intact,intact,8,manual,392000000
wYyKvDKt,tehran,peugeot20602,1399,white,50000,intact,healthy,intact,intact,10,manual,415000000
wYySf7FT,tehran,peugeot20602,1401,white,0,intact,healthy,intact,intact,12,manual,465000000
wYySfb7A,tehran,peugeot20602,1388,seashell,280000,intact,healthy,intact,intact,12,manual,260000000
wYyOvrqo,tehran,peugeot20602,1395,white,48000,intact,healthy,intact,intact,12,manual,345000000
wYyK_uAN,tehran,peugeot20602,1398,white,19000,intact,healthy,intact,intact,1,manual,425000000
